201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OBC-NCL Female-only 25946 29839
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OBC-NCL(PwD) Gender-Neutral 202201 202201
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS GEN-EWS Gender-Neutral 9885 11976
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS GEN-EWS Female-only 16824 16824
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OPEN Gender-Neutral 7492 9690
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OPEN Female-only 13823 15306
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OPEN(PwD) Gender-Neutral 128720 128720
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS SC Gender-Neutral 50054 58143
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS SC Female-only 72687 72687
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS SC(PwD) Gender-Neutral 964647 964647
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS ST Gender-Neutral 85750 97139
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS ST Female-only 133287 133287
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering AI ST Gender-Neutral 118668 118668
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS OBC-NCL Gender-Neutral 42306 92120
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS OBC-NCL Female-only 93901 93901
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS GEN-EWS Gender-Neutral 39420 45347
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS GEN-EWS Female-only 81085 81085
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS OPEN Gender-Neutral 22728 33896
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS OPEN Female-only 47028 48780
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4111 Electrical Engineering HS OPEN(PwD) Gender-Neutral 893102 893102
